
Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal
Igreja Das Galinheiras,3847,N,00908,W,IGALI,38.783333,-9.133333
Ilhavo,4035,N,00839,W,ILHAV,40.583333,-8.65
Lagoa,3708,N,00827,W,LAGOA,37.133333,-8.45
Lagoa De Albufeira,3830,N,00910,W,LALBF,38.5,-9.166667
Lagoa De S. Andre,3806,N,00847,W,LSTAN,38.1,-8.783333
Lagos,3705,N,00840,W,LAGOS,37.083333,-8.666667
Lamarosa (Coruche),3904,N,00827,W,LROSA,39.066667,-8.45
Lamego,4106,N,00748,W,LAMEG,41.1,-7.8
Lavadores,4107,N,00840,W,LAVAD,41.116667,-8.666667
Lavra,4114,N,00843,W,LAVRA,41.233333,-8.716667
Lavre,3846,N,00822,W,LAVRE,38.766667,-8.366667
Leca Da Palmeira,4111,N,00842,W,LESSA,41.183333,-8.7
Leca Do Balio,4112,N,00838,W,LEBAL,41.2,-8.633333
Leiria,3944,N,00848,W,LEIRI,39.733333,-8.8
Undoso,4151,N,00811,W,LINDO,41.85,-8.183333
Lisboa Cidade,3843,N,00908,W,LSBOA,38.716667,-9.133333
Lixa,4119,N,00808,W,LIXA,41.316667,-8.133333
Longroiva,4057,N,00712,W,LONGR,40.95,-7.2
Loriga,4019,N,00741,W,LORIG,40.316667,-7.683333
Lourical,4000,N,00844,W,LOURI,40.0,-8.733333
Lourinha,3914,N,00918,W,LONHA,39.233333,-9.3
Lourosa,4059,N,00832,W,LORSA,40.983333,-8.533333
Lousa,4006,N,00814,W,LOUSA,40.1,-8.233333
Lousada,4116,N,00817,W,LSADA,41.266667,-8.283333
Luso,4023,N,00822,W,LUSO,40.383333,-8.366667
Macedo De Cavaleiros,4132,N,00657,W,MACAV,41.533333,-6.95
Macieira De Cambra,4051,N,00822,W,MCAMB,40.85,-8.366667
Mafra,3856,N,00919,W,MAFRA,38.933333,-9.316667
Maia,4114,N,00837,W,MAIA,41.233333,-8.616667
Malveira,3855,N,00915,W,MALVE,38.916667,-9.25
Mangualde,4036,N,00745,W,MANGU,40.6,-7.75
Manteigas,4024,N,00732,W,MTGAS,40.4,-7.533333
Marateca,3834,N,00840,W,MTECA,38.566667,-8.666667
Marco De Canavezes,4111,N,00808,W,MARCO,41.183333,-8.133333
Marinha Grande,3945,N,00855,W,MGRAN,39.75,-8.916667
Marmelete,3718,N,00840,W,MARME,37.3,-8.666667
Martinlongo,3726,N,00746,W,MLONG,37.433333,-7.766667
Marvao,3923,N,00722,W,MARVA,39.383333,-7.366667
Massarelos,4109,N,00837,W,MSRLS,41.15,-8.616667
Matosinhos,4110,N,00841,W,MATOS,41.166667,-8.683333
Mealhada,4022,N,00827,W,MEALH,40.366667,-8.45
Meda,4057,N,00715,W,MEDA,40.95,-7.25
Meimoa,4013,N,00711,W,MEIMO,40.216667,-7.183333
Melgaco,4206,N,00815,W,MELGA,42.1,-8.25
Melides,3808,N,00843,W,MELID,38.133333,-8.716667
Mertola,3738,N,00739,W,MTOLA,37.633333,-7.65
Minas De Sao Domingos,3740,N,00729,W,MSDOM,37.666667,-7.483333
Minde,3930,N,00841,W,MINDE,39.5,-8.683333
Mindelo,4118,N,00843,W,MDELO,41.3,-8.716667
Mira,4025,N,00844,W,MIRA,40.416667,-8.733333
Mira De Aire,3932,N,00842,W,MAIRE,39.533333,-8.7
Miramar (Arcozelo),4104,N,00839,W,MIRAM,41.066667,-8.65
Miranda Do Corvo,4005,N,00819,W,MICOR,40.083333,-8.316667
Miranda Do Douro,4129,N,00616,W,MIRAN,41.483333,-6.266667
Mirandela,4129,N,00710,W,MDELA,41.483333,-7.166667
Modivas (Vila Do Conde),4117,N,00841,W,MODIV,41.283333,-8.683333
Mogadouro,4120,N,00642,W,MOGAD,41.333333,-6.7
Moimenta Da Beira,4058,N,00736,W,MOIME,40.966667,-7.6
Moncao,4204,N,00828,W,MONCA,42.066667,-8.466667
Moncarapacho,3705,N,00747,W,MPACH,37.083333,-7.783333
Monchique,3719,N,00833,W,MCHIQ,37.316667,-8.55
Mondim De Basto,4124,N,00757,W,MBAST,41.4,-7.95
Monforte,3903,N,00726,W,MONFO,39.05,-7.433333
Monforte Da Beira,3944,N,00717,W,MONFB,39.733333,-7.283333
Monsanto (Covilha),4002,N,00706,W,MONSA,40.033333,-7.1
Monsaraz,3826,N,00722,W,MSRAZ,38.433333,-7.366667
Montalegre,4149,N,00747,W,MONTA,41.816667,-7.783333
Montargil,3904,N,00810,W,ARGIL,39.066667,-8.166667
Monte Da Virgem – Gaia,4106,N,00835,W,MVIRG,41.1,-8.583333
Monte Gordo,3710,N,00727,W,MGORD,37.166667,-7.45
Monte Real (Povoacao),3951,N,00851,W,MREAL,39.85,-8.85
Montechoro,3705,N,00813,W,MCHOR,37.083333,-8.216667
Montelavar,3851,N,00919,W,MLVAR,38.85,-9.316667
Montemor-O-Novo,3838,N,00812,W,MNOVO,38.633333,-8.2
Montemor-O-Velho,4010,N,00841,W,MTVEL,40.166667,-8.683333
Mora,3856,N,00809,W,MORA,38.933333,-8.15
Moreira (Maia),4114,N,00838,W,MOREI,41.233333,-8.633333
Mortagua,4023,N,00813,W,MORTA,40.383333,-8.216667
Moura,3808,N,00726,W,MOURA,38.133333,-7.433333
Mourao,3823,N,00720,W,MORAO,38.383333,-7.333333
Murtosa,4044,N,00838,W,MURTS,40.733333,-8.633333
Nazare,3935,N,00904,W,NZARE,39.583333,-9.066667
Nelas,4032,N,00751,W,NELAS,40.533333,-7.85
Nisa,3931,N,00738,W,NISA,39.516667,-7.633333
Nogueira,4014,N,00835,W,NEIRA,40.233333,-8.583333
Nossa Senhora Machete,3834,N,00841,W,NSMAC,38.566667,-8.683333
Obidos,3921,N,00909,W,OBIDO,39.35,-9.15
Odeceixe,3725,N,00846,W,ODCXE,37.416667,-8.766667
Odeleite,3720,N,00729,W,ODLTE,37.333333,-7.483333
Odemira,3735,N,00838,W,OMIRA,37.583333,-8.633333
Odiaxere,3708,N,00839,W,ODIAX,37.133333,-8.65
Odivelas,3848,N,00910,W,ODIVL,38.8,-9.166667
Oeiras,3841,N,00918,W,OEIRA,38.683333,-9.3
Oleiros,3955,N,00754,W,OLEIR,39.916667,-7.9
Olhao,3701,N,00750,W,OLHAO,37.016667,-7.833333
Oliveira De Azemeis,4050,N,00828,W,OLIAZ,40.833333,-8.466667
Oliveira De Frades,4043,N,00810,W,OFRAD,40.716667,-8.166667
Oliveira Do Bairro,4030,N,00829,W,OLIBA,40.5,-8.483333
Oliveira Do Hospital,4021,N,00751,W,OLIVH,40.35,-7.85
Ourem,3939,N,00834,W,OUREM,39.65,-8.566667
Ourique,3739,N,00813,W,ORQUE,37.65,-8.216667
Ovar (Povoacao),4051,N,00837,W,OVAR,40.85,-8.616667
Paco De Arcos,3841,N,00917,W,PARCO,38.683333,-9.283333
Pacos De Ferreira,4116,N,00822,W,PFERR,41.266667,-8.366667
Paião,4004,N,00848,W,PAIAO,40.066667,-8.8
Palhaca,4031,N,00836,W,PALHA,40.516667,-8.6
Palmeirinha (Aljezur),3718,N,00851,W,PLMEI,37.3,-8.85
Palmela,3834,N,00853,W,PALME,38.566667,-8.883333
Pampilhosa,4020,N,00825,W,PAMPI,40.333333,-8.416667
Parada (Guarda),4032,N,00702,W,PARAD,40.533333,-7.033333
Parada De Ester,4055,N,00803,W,PESTR,40.916667,-8.05
Paredes,4112,N,00820,W,PARED,41.2,-8.333333
Paredes De Coura,4154,N,00833,W,PCOUR,41.9,-8.55
Parque Das Nacoes,3846,N,00905,W,PNACO,38.766667,-9.083333
Passos (Chaves),4153,N,00709,W,PASSO,41.883333,-7.15
Pavia,3853,N,00801,W,PAVIA,38.883333,-8.016667
